"npts","degree","parity","convergence_diff","iteration_time","angles_json","coefs_json","out_json"
"101","101","1","inf","0.5146238803863525","[-0.14115545856456813, -0.5528327245757436, -0.3149698837298606, 0.30654650904695907, -0.045058396629261775, -0.08976162776430942, 0.1573508733688723, -0.15228053765277932, 0.03962733807066559, 0.03296009636887303, -0.059943209523098326, 0.08955631928515381, -0.07237205834136475, 0.037100511999430215, -0.022939639203821385, -0.017674370199136747, 0.05352532096326301, -0.06695860547853183, 0.06001058414994721, -0.040597744819748524, -0.020761047305074113, 0.007700998863399842, -0.0187327353231825, 0.031840509400385915, -0.05128429971774113, 0.04025448736963172, -0.02582672907264354, 0.010507046902870628, 0.015569622806053429, -0.035588696816954056, 0.048149264610993746, -0.04846752519117416, 0.030330277475530614, -0.008397405677759305, 0.004320080482502146, 0.006279006744207736, -0.03784492333026704, 0.04942543693382145, -0.05066728660696144, 0.04013675202087212, -0.039527638088730215, -0.0029515440723706715, 0.022428773280585724, -0.06317503193027683, 0.0757262532322355, -0.08232976340591949, 0.09329973975748297, -0.0903153838428195, 0.07188937407601186, -0.048809081613711135, 0.019399427606450484, 0.01229566981326268, -0.032737673830850855, 0.0640890800601938, -0.08616747688656629, 0.0981949484315255, -0.10032657894844109, 0.08206569267703315, -0.06980532714394065, 0.01963456358795361, -0.00045085935978047734, -0.03498477758305663, 0.0317545178241338, -0.045966617497386876, 0.05150192626729069, -0.04096157424414953, 0.011289840904196158, 0.0006585616249252485, -0.006448924026571138, 0.030520387897535962, -0.04022045126433833, 0.041868087794032324, -0.03955921800798697, 0.02239313516964881, 0.0009290163827196203, -0.017615707387757886, 0.03351047390388417, -0.05075798402228847, 0.04105419706888137, -0.031222930319368142, 0.016228496344986278, -0.011937925873732508, -0.036363089524579714, 0.055611693218759944, -0.07126782322938477, 0.05248556130239185, -0.01671244472430791, -0.007301881168367266, 0.036856159972560996, -0.06759904380649488, 0.08081172105993276, -0.06999991389970493, 0.04265922184703579, 0.04396421304202515, -0.1367744640670268, 0.14681593405850937, -0.08871763794959572, -0.033265879342428854, 0.2911243739935327, -0.30248343495469554, -0.529656150426687, -0.1315381192521119]","[0.012574978896227067, -0.04505719856864363, 0.07939474271739205, -0.10563100214668758, 0.12708300293281907, -0.13186403858910653, 0.11825518665646886, -0.1020571653881744, 0.0769593550523529, -0.040682901362960266, 0.005329034398178122, 0.033573006699891536, -0.06592421753361571, 0.07177917796645536, -0.06353803915588406, 0.04781993495506923, -0.021592522858347528, 0.0029044967435768168, 0.013082983005206472, -0.03953639024766799, 0.0544913790708334, -0.055012355401450386, 0.04992617276361582, -0.023960363062705804, -0.004605923227821833, 0.015499229703052678, -0.034267632089844645, 0.053865508113419835, -0.05766561950601355, 0.06349467817574923, -0.04350786108648351, -0.01633690687293307, 0.059945432405977585, -0.08421044814292418, 0.09400342667643483, -0.05048204994599413, 0.004716104871932431, 0.010847105793247647, -0.0621738018866789, 0.10489833942994638, -0.09784934864019809, 0.10175843851756092, -0.01934759476132939, -0.16136620677207356, 0.201611017792764, -0.15192801887231983, 0.06948369985257942, 0.3327515791039775, -0.5139716072932741, -0.6615657745282392, -0.15184891807920559]","{""iter"": -1, ""time"": 0.36663293838500977, ""value"": -1, ""parity"": 1, ""targetPre"": false, ""typePhi"": ""full""}"
"128","101","1","1.2238528804327964","0.9460132122039795","[0.26296934509954484, 0.12486069090482523, -0.5790459825803829, -0.2773810944639631, -0.0063901964466889, -0.24806202452662932, 0.038755122160331223, -0.07179288513682751, -0.04126562378377537, 0.054195314432076834, -0.10104345844278198, 0.06044446549396868, -0.047428767034455074, 0.006646007354660458, 0.017268629423924868, -0.04563094064451618, 0.060570323631296275, -0.05086307969543357, 0.03475212137428106, -0.01520847150392172, -0.003586765929163339, 0.03806537657261335, -0.039758843967949944, 0.03607959546633713, -0.03338517725446075, 0.02823811350440209, -0.0030561922204580517, -0.0010723250082537656, 0.03180011070257228, -0.02324856975087854, 0.04710175711403263, -0.026752966770856933, 0.03484608401872476, -0.004520287356388781, 0.00040076681424040946, 0.031278857107196446, -0.039445627076111725, 0.0427505801476135, -0.03994476816456067, 0.023662509332406045, -0.01334445653117063, 0.017705907606733046, 0.0315456208080156, -0.05587335135906112, 0.07119024519130694, -0.07421908122903985, 0.09049330225168556, -0.09009542532753273, 0.07136770156852933, -0.042532077951913314, 0.021747997367498193, 0.006572319582194881, -0.03391777657707084, 0.06735318620561173, -0.08426062350170377, 0.09512210876973837, -0.09000835319304278, 0.07870905643553631, -0.06253713474371082, 0.042006606274549746, 0.014188064369315318, -0.009666235661709023, 0.023384066553636885, -0.047026485185862894, 0.05218729030092916, -0.05218923479260422, 0.040967203731416754, -0.0004418718239514939, -0.01786445327672472, 0.04365669260794191, -0.026685055336737266, 0.04252478208394537, -0.029080376404043016, 0.03288384026203503, -0.005091512188790119, -0.004142319160934845, 0.024873858716252813, -0.03832017261896413, 0.04218652025962137, -0.04596642980022284, 0.03163359530339415, -0.0008562990316964987, -0.010845155286771399, 0.03011545218988816, -0.05930107100113146, 0.0584274065843266, -0.04265078455497164, 0.01141778398234162, 0.001188338051991298, -0.04245818802979999, 0.05900657415574457, -0.09380106395639184, 0.04804405957926829, -0.04273666747814418, -0.0650755479756957, 0.029002221613656596, -0.24240550199628547, -0.008087378702566662, -0.264333120843411, -0.561152912096297, 0.11786255566361999, 0.25722781471190714]","[0.015417601942149623, -0.054305240805145906, 0.08076268110850551, -0.10946310136651932, 0.11982012613693739, -0.12174691053309707, 0.10851451551564972, -0.11311282222275242, 0.07423971441024885, -0.004495604520875181, 0.015920500020846686, -0.010725047336031197, -0.05119481374549683, 0.05638216277986573, -0.08009060695118404, 0.06493226490714465, -0.027417585493352454, 0.017565707843713824, 0.028737636526724585, -0.02260370338823384, 0.05251657295261996, -0.03629947995192124, 0.05162253220312063, -0.028229976123187082, 0.03295674124841861, 0.006273541304203936, -0.022995120840891517, 0.05624407314469074, -0.05850234871955356, 0.05608478767913921, -0.04110550190712724, 0.020273390123783926, 0.02158735318417825, -0.05432610915760747, 0.0722627758289495, -0.07448857167496117, 0.06000937344424184, -0.02914219106361108, -0.02360390418691074, 0.06342423993323394, -0.11486409394984554, 0.09866888399814126, -0.10275560364018882, -0.02906894654054186, 0.03192552174270807, -0.2921085576920768, 0.04840069834037722, -0.40720918984396376, -0.7442945353473189, 0.1183596771730647, 0.2896669289850759]","{""iter"": -1, ""time"": 0.4768669605255127, ""value"": -1, ""parity"": 1, ""targetPre"": false, ""typePhi"": ""full""}"
"256","101","1","0.17969929774801305","0.6994779109954834","[0.21827702923493492, 0.021686685108472815, -0.6067211228587994, -0.2294179901424201, 0.006252855645792476, -0.22156720958574477, 0.07152643090274806, -0.06343890028691784, -0.029866987680668887, 0.057002887902460254, -0.08319872868253679, 0.07369225582490999, -0.04929372470825749, 0.012049603508871578, 0.019052425935267105, -0.03505524855948593, 0.050472073757408746, -0.059579965434899414, 0.04390649294683428, -0.016354720443570104, -0.0006010278037634765, 0.02521227221010224, -0.033728946469909184, 0.04750818547748105, -0.03959851232910757, 0.038349894410746224, -0.00991415467186321, -0.004270237138343127, 0.023930850072238188, -0.04142052437523332, 0.0383444445751707, -0.0444015944640722, 0.023235858206840224, -0.01371504185999658, 0.0026418363665104646, 0.02149611335791858, -0.04430069871948763, 0.055663862468785484, -0.043542313750147776, 0.03796318536494704, -0.022403381645552795, -0.0056878308892949056, 0.03185097410697437, -0.05554638792411952, 0.06909872715104341, -0.08957596050965753, 0.09296796943895926, -0.08958750862848544, 0.0772733154740444, -0.04288315778771041, 0.016626380643300392, 0.014609451635657366, -0.04045208967197812, 0.07859953322700462, -0.08808099474361451, 0.09284674257810986, -0.08781470144187141, 0.07401491751192069, -0.05885281464241523, 0.03350881030226072, -0.006352958361466389, -0.022581780154494104, 0.04236716498683931, -0.044346658217793704, 0.05721390533528984, -0.03996008797681952, 0.02267557990378621, 0.004146930073911276, -0.010000792157672097, 0.023822640964354623, -0.042657301033482836, 0.04084169033379566, -0.042783285019837546, 0.02313025964512326, -0.004685258238162052, -0.010901050221617577, 0.035983570121638817, -0.038383922078124605, 0.047425269827868044, -0.03576434616954418, 0.027208741502027158, 0.0010073672251846625, -0.013386909244716284, 0.04395844161673486, -0.05688002795461497, 0.05288178569146066, -0.038173273521376505, 0.01950168071613019, 0.009404495977296904, -0.05043151836271986, 0.07291883605144478, -0.08520918723500005, 0.05945487969849652, -0.029021163530614513, -0.06148547734275166, 0.07402243149772271, -0.21782507426263967, 0.00925034444811927, -0.22894365654891438, -0.6049246457852065, 0.019541204383013062, 0.2151126065497013]","[0.019911782887229834, -0.05793845930077769, 0.09097075697291405, -0.11108111186330981, 0.12529627339805163, -0.12228460792235836, 0.1118148546000681, -0.09064815552103038, 0.0719693832076682, -0.036579798503824874, 0.006683581391252335, 0.024742825612689694, -0.04321185984249721, 0.062437259422055094, -0.06058002987896607, 0.05120478401177447, -0.033002657828472885, 0.009839409199148899, 0.009065855213705154, -0.03191814566067543, 0.0424761897840881, -0.051717864710967294, 0.05040263227766673, -0.03335707548413283, 0.016117597192706362, 0.014033370222040136, -0.036218192102459794, 0.04024230707626463, -0.053258176327925254, 0.05520755752248232, -0.0339332272999308, 0.00582777775689546, 0.019300942274698526, -0.04681907836832776, 0.06645801703195382, -0.06997390264330433, 0.05401144347250107, -0.022596019724205926, -0.02255240828432939, 0.06591664491976891, -0.10162661441391564, 0.10060140802700338, -0.08019095955058105, -0.015119275944083162, 0.06344891459342912, -0.24543144328561092, 0.08473430215263038, -0.33903504439099363, -0.7620949678630908, 0.004104603405371789, 0.23518283597581352]","{""iter"": -1, ""time"": 0.5018520355224609, ""value"": -1, ""parity"": 1, ""targetPre"": false, ""typePhi"": ""full""}"
"512","101","1","0.9988419347684935","0.5495648384094238","[0.42790740523110277, 0.5449142828848502, -0.15572579975649153, -0.04843539764872432, 0.14574036853746714, -0.1301343626747061, 0.09941935559656878, -0.018460163931287837, -0.031036666938139862, 0.06508491452275532, -0.07732704573136881, 0.07191175942461367, -0.03754027535837304, 0.012897182875329647, 0.030564555363548764, -0.04430748118927865, 0.05100789270687533, -0.048415675820291396, 0.03983363749711756, -0.013903422243506394, -0.004936159893076009, 0.02602819483010403, -0.04590276265151148, 0.04830847678797232, -0.03476181512829238, 0.023424491609750638, -0.0036690918148674853, -0.0074208425865186995, 0.02680550193354018, -0.0376011204300898, 0.040493315581520826, -0.029679976538830498, 0.024269912331162206, -0.0037871440097567164, -0.004570052160719929, 0.016009642988132837, -0.038822867118087974, 0.04887242502739021, -0.040292258527468594, 0.031507533477196405, -0.0180778360584086, 0.0008917434971906211, 0.02590019301198282, -0.04939555692815299, 0.0798776289018495, -0.07632210201561522, 0.10038295358562273, -0.09526030610062426, 0.06199476350268974, -0.05193447538658238, 0.028352213230812228, 0.0266613912952463, -0.05368286357319201, 0.06162084336210928, -0.09546695530236514, 0.09918266604887283, -0.07384497900308384, 0.08263826421510911, -0.048889835546264, 0.02767793079706347, -0.00046600479516096334, -0.017035779436553086, 0.03280319888928037, -0.040272716519375924, 0.048270968675891694, -0.041465902628349406, 0.016788625865871716, -0.006144245581281332, -0.005576852945947717, 0.0246991865470048, -0.0299643120626214, 0.04011200931663072, -0.038663270971067636, 0.0284598404189477, -0.00798787284007426, -0.0036625220460834505, 0.02439195526993742, -0.037454645766483774, 0.0488560884877471, -0.0455780112800462, 0.025989438852069505, -0.0042900201009118104, -0.01636136839454792, 0.038870791981500535, -0.04872232738471052, 0.05046702103300463, -0.04362487992605146, 0.029412206758251194, 0.01209525906437837, -0.038855232572991026, 0.06738369919369758, -0.08032535883593957, 0.06401379638611256, -0.03168956618289496, -0.020013438318263525, 0.09434583598448486, -0.13593146159594463, 0.14359111780194142, -0.05051161274996556, -0.16033970290082455, 0.541453475400844, 0.42525473532608904]","[0.019673712924889775, -0.05633194113733354, 0.08735405263775477, -0.11081498601335736, 0.12328810319674964, -0.12438255855006662, 0.11438221084292298, -0.09359548657414189, 0.0672550698791669, -0.03591169412219889, 0.005115228496684149, 0.022667172247495263, -0.044485711449564265, 0.056914507944402164, -0.05900569101464114, 0.050253626702167285, -0.034213544440485286, 0.014236114724803715, 0.0079392493943485, -0.029041762988002404, 0.04453711081623937, -0.050537198828473504, 0.04687520594363185, -0.03587304903541759, 0.017057719632114145, 0.008074286536658811, -0.029783014323475607, 0.04505240015334969, -0.05623212688670696, 0.0497517443048412, -0.03656567022520988, 0.011350370902393228, 0.017192177516008572, -0.04419036363316096, 0.06326777715140021, -0.06823024215290757, 0.05602008560657995, -0.026925298312974567, -0.014160573484670536, 0.05779040930064933, -0.09171841302877494, 0.10245816529362671, -0.07928450994879799, 0.019379615789641664, 0.06818715694823517, -0.15776527142013308, 0.2029716359862781, -0.13679500367068978, -0.1282009325359381, 0.6938869700419283, 0.47111149028771215]","{""iter"": -1, ""time"": 0.2317180633544922, ""value"": -1, ""parity"": 1, ""targetPre"": false, ""typePhi"": ""full""}"
"1024","101","1","0.00548774148592389","1.8303821086883545","[0.4270418375653074, 0.538477311525048, -0.1625902833461741, -0.04514312932669437, 0.14738383323018023, -0.13579290563235108, 0.0977542291108989, -0.01890570101104375, -0.03196633383278766, 0.07003970052032271, -0.07243713393532722, 0.07056503213845756, -0.03547862028048393, 0.013199602305076365, 0.025574508418650603, -0.042465089974243385, 0.055481788256880125, -0.04523896640172072, 0.03952392869972482, -0.013112367855770402, 0.0010383282132635013, 0.035874404646613005, -0.025741206336984346, 0.06416054334351295, -0.026024923491888105, 0.025300970583224374, -0.011593920871452655, -0.009830235860076053, 0.028101082503167108, -0.028478839679598418, 0.03851136001713048, -0.04309250235153874, 0.029542984170752316, -0.006301826980951946, -0.00949283212842574, 0.024909332588608887, -0.03542340908400587, 0.04342658560758866, -0.047264866432861076, 0.035324401087338475, -0.01750366678816063, -0.005918887368945596, 0.024658375236276724, -0.04950583835100582, 0.07110359292803557, -0.09121983349405033, 0.09917286120560735, -0.09077656779617847, 0.0707595023709094, -0.04088118779916789, 0.012966029033496553, 0.012348299833288265, -0.04075171368155131, 0.07117930070486542, -0.09016676902859413, 0.09960541777962209, -0.09000072121690844, 0.07087692068772776, -0.04907711833144054, 0.025705748824577098, -0.006931958169012738, -0.016316253860981216, 0.03498567971433703, -0.04744340251015834, 0.044060330356844, -0.03547343414640015, 0.025030617721565927, -0.009717659509296437, -0.006110225179250516, 0.029558344023698856, -0.04332624809515746, 0.038523999595881805, -0.02784413879349742, 0.027316692416433586, -0.01134628238240498, -0.011561417944564317, 0.026140420540797328, -0.024768660400912055, 0.06390701796357007, -0.026511512721329424, 0.03511001046738239, -0.00013879625256344938, -0.013729140506051448, 0.038568081799088015, -0.04676976943410746, 0.05396639355287058, -0.04283351956303314, 0.0239701108442042, 0.01150707478413826, -0.036376906806053266, 0.06666737895436037, -0.0752503360572656, 0.06747074413987313, -0.03609490753556168, -0.02160567254619568, 0.09289328238078123, -0.1404436929164093, 0.1446465039273488, -0.050150910778207804, -0.1688895468196093, 0.5318152148630134, 0.4238811290442627]","[0.019060255943966355, -0.0562569286937016, 0.08835964531289821, -0.11068924153123198, 0.12320445391687494, -0.12498712091760855, 0.11391577950326162, -0.09425776560835045, 0.06659327221368416, -0.03594730220894986, 0.004502309527318649, 0.0233259322197365, -0.04434613597521501, 0.05618912955157975, -0.05824399278715524, 0.05075626567872908, -0.03498957036095308, 0.013909093586178933, 0.008868320762880027, -0.02935688059147692, 0.04405779692259347, -0.05052657577477843, 0.04740717423045832, -0.0351026772335606, 0.015613635423048456, 0.007351405865550882, -0.02943768606977648, 0.04612543389638171, -0.053949266618749936, 0.050648668822205464, -0.03589660816799935, 0.011828032631629747, 0.017135738953986453, -0.04438590732695786, 0.06335948382690568, -0.06816311357191511, 0.055942988675106865, -0.026591426795702956, -0.01444270846061087, 0.05809569223084901, -0.09182515551647735, 0.10211870250522329, -0.07883065305258576, 0.01864604904955225, 0.06898979430990575, -0.1577585014478396, 0.20215737241517698, -0.1353022325095892, -0.12929501682366987, 0.6914955126557496, 0.4709244400230975]","{""iter"": -1, ""time"": 0.2671067714691162, ""value"": -1, ""parity"": 1, ""targetPre"": false, ""typePhi"": ""full""}"
"2048","101","1","0.0025928583489380277","3.1860039234161377","[0.42663692658328495, 0.535926724926008, -0.17038502116974522, -0.048568443779841694, 0.14879784527730017, -0.14267469677839212, 0.09262142501908323, -0.018694432808109743, -0.03359273110124097, 0.07180780846092812, -0.07429317471527551, 0.0647670817579831, -0.036703038747636155, 0.009508450692710314, 0.022025221619060835, -0.04062571062206185, 0.053830975425505426, -0.04767944517860508, 0.040487692432518096, -0.016236170979175995, -0.00021777145201633038, 0.038189285833534786, -0.02587415163128853, 0.06725781451284046, -0.022978776040695936, 0.028094475895916644, -0.01106493008055833, -0.016241462764514127, 0.027720617203804705, -0.024462563075884746, 0.037728035489955576, -0.043734813834321595, 0.032506098541493736, -0.0017295412508428407, -0.007808275911986229, 0.02383939539967351, -0.03225235810658054, 0.0506657196275107, -0.04758978623549591, 0.03463323975753161, -0.00962994035970314, -0.003618606189015606, 0.025178696471321853, -0.04121747797574327, 0.07867740546294272, -0.08479549130496851, 0.10703300841909652, -0.08945317283566183, 0.0674793344963957, -0.03978135376883639, 0.013323413880869724, 0.012615883006264561, -0.039799273668767225, 0.06764823298240986, -0.08921329685394741, 0.10609680141243286, -0.08407260866637827, 0.07863266706673566, -0.041871877687668146, 0.025335611009738624, -0.00503112050806797, -0.009251297861319376, 0.03323001658853719, -0.048552411782103816, 0.05042149219250711, -0.03306995428823066, 0.022946789206861298, -0.008622338850861052, -0.0023769924080100954, 0.03123108855561092, -0.04412734525611145, 0.03615576436128067, -0.026466402049712824, 0.02675375521273035, -0.01803052034736113, -0.012401460553982533, 0.027949481588115867, -0.02540469433776791, 0.06350231111452782, -0.026654517700779073, 0.03589260659053656, -0.0028975462569308984, -0.016848998976616535, 0.037374133178606724, -0.050576669198522564, 0.0525828198894926, -0.04236759887802503, 0.019319707912976356, 0.007935769273406848, -0.03697943851664435, 0.0627201546036617, -0.07695319653611415, 0.06907370091960384, -0.035549087250538285, -0.02249024881029614, 0.08663094991906008, -0.14481611082356116, 0.1456410079717581, -0.05270171004815606, -0.17327244316100152, 0.5276223127715858, 0.42054917527279945]","[0.019451008022539417, -0.056423142352628484, 0.0878628074912285, -0.1108625519887324, 0.12337025215981429, -0.12438613296760938, 0.11412599581959318, -0.09409967263162679, 0.06688839350882915, -0.035831372609551014, 0.004592524172339286, 0.02315079483518519, -0.0442295801671803, 0.05631009821425124, -0.058319315259309445, 0.050635009292201605, -0.034934091683589116, 0.014026459017295554, 0.00861668628521423, -0.029133335184274987, 0.043967691030991664, -0.05046768492467464, 0.04746531325251941, -0.03524322793385159, 0.015909709023906576, 0.007129829202158645, -0.029319458562773393, 0.046220000692123474, -0.05416600569262702, 0.050811424613460617, -0.03597410204550829, 0.01183179490704533, 0.016927470280442832, -0.04414997459371107, 0.06315904127345637, -0.06835558964029119, 0.05598816971110606, -0.026990135468926632, -0.0142321183745493, 0.05783887073737695, -0.09170371563319571, 0.10235740109993982, -0.07907401139990639, 0.019212596554474166, 0.06824908660788451, -0.15752882932568557, 0.2024727452885021, -0.13608222420271318, -0.12817912095747278, 0.6915169276705672, 0.4695972420192371]","{""iter"": -1, ""time"": 0.49843621253967285, ""value"": -1, ""parity"": 1, ""targetPre"": false, ""typePhi"": ""full""}"
"4096","101","1","0.0004874248236428989","5.725507020950317","[0.4271091976064852, 0.5345556534518336, -0.17602970527087278, -0.05057792515822107, 0.15165233753737048, -0.14452230095375415, 0.0904799016116091, -0.01759704029443612, -0.03578954310137129, 0.0713499666605228, -0.07132065467263006, 0.06657754210301368, -0.030769488734064557, 0.014191706199265243, 0.019016320792402668, -0.04064305147740135, 0.05649967634069076, -0.050884043692863375, 0.03916012919681491, -0.01409214433352941, -0.0032980855977513966, 0.03762260582396756, -0.02408351010363305, 0.06250425371416876, -0.02362930567621336, 0.03073989360418813, -0.01505970944840244, -0.018114102212359973, 0.029719079933946273, -0.02587492398273109, 0.0358871469815564, -0.04380751786856286, 0.03234402868046347, 0.001285317051182627, -0.004265937368504722, 0.022602699958077056, -0.030475308427994844, 0.053285084155770907, -0.05215060567110557, 0.03348683854265414, -0.006573298237633798, -0.0058980131453751005, 0.023062114046450997, -0.0392408827978487, 0.07941677218339235, -0.08436913447568971, 0.10849060609375204, -0.09140251207675963, 0.06666151615934464, -0.03723640455400466, 0.010526919376336886, 0.009987952443531024, -0.036896599061528035, 0.06644720947012846, -0.09123577507650274, 0.10786163852416226, -0.08393020014190235, 0.07891636241426565, -0.04010769851544346, 0.02334710039397868, -0.007106491999163976, -0.006283020808639314, 0.03190955955028364, -0.05238358614387638, 0.05325101494419184, -0.03161269702194658, 0.02237392108571498, -0.004631128952969547, 9.418562096267564e-06, 0.031105060070145952, -0.043637365828387016, 0.03426832090659342, -0.02763700414028716, 0.028918781120179354, -0.019408455343144254, -0.015759461678628288, 0.030082729992530276, -0.025475931648214722, 0.05955432591392394, -0.025992790153230916, 0.035579749268404626, -0.004560447160376093, -0.015552869674604517, 0.036033369220343836, -0.05177217605873023, 0.054796463847565244, -0.04304976684919112, 0.018158528898952964, 0.012918715574925547, -0.03243276080275077, 0.0637212595211187, -0.07424300936368942, 0.06917420537094368, -0.03758798293338872, -0.02156168685357389, 0.0863059186068796, -0.14507979658480336, 0.1473050360878979, -0.053872176664844375, -0.17562021738914135, 0.5264824727454434, 0.4200888798720043]","[0.01940984519945634, -0.056345493307759134, 0.08784732484426978, -0.11088366025983386, 0.12336652917614946, -0.12435264479750088, 0.11412422188627984, -0.09412948280454052, 0.06691755887476927, -0.03582158038845498, 0.004583707277183179, 0.023147808404533378, -0.04419674144133877, 0.056286801895164315, -0.058342884266537956, 0.05067303355042568, -0.034968487771575185, 0.01400846506322353, 0.008641428753171325, -0.029142538416221865, 0.043942264606996045, -0.05046605690203133, 0.047409222144293814, -0.03523882382276936, 0.015895227251533507, 0.007029538072871208, -0.029260143255046396, 0.04623289757311891, -0.05419941354153829, 0.050829103208522616, -0.03594716418918873, 0.011902232273788638, 0.016859070285370925, -0.0441427529181918, 0.06319539684897073, -0.06829836376676472, 0.05607950970025851, -0.02696615739784383, -0.014118541275276366, 0.05787881584219324, -0.09170043507974322, 0.1022683386821378, -0.07917869461080788, 0.019296530293027796, 0.06821183043024308, -0.15740349270879656, 0.2024597845818627, -0.13625773104530717, -0.12799147825458865, 0.6914883106036089, 0.46936784973144047]","{""iter"": -1, ""time"": 0.39696693420410156, ""value"": -1, ""parity"": 1, ""targetPre"": false, ""typePhi"": ""full""}"
"8192","101","1","9.407217443774901e-05","9.57703185081482","[0.42650523542729774, 0.5332393752310295, -0.17759643615061582, -0.05133698952843721, 0.15287655684136797, -0.14397117979608376, 0.08788936294992918, -0.01940551284162658, -0.03368407388249931, 0.07323855330938438, -0.07322854889948438, 0.06457120652961329, -0.029861652457236113, 0.014969362349005673, 0.018093375481388455, -0.04142610211697425, 0.05719690429953406, -0.050104022756600926, 0.03749894940524088, -0.015832818981821945, -0.0019652908803307854, 0.03812978082831221, -0.02701759717349397, 0.06056088033148244, -0.023109308075633366, 0.03131642600223044, -0.01499347700718409, -0.018457757317284298, 0.030170293786458795, -0.024794839285386124, 0.035294547166840544, -0.04419163462732501, 0.03398720179292044, 0.0010595332624081496, -0.006621955038939164, 0.02205900371433781, -0.029730826794257276, 0.05390851333169027, -0.05234597757605469, 0.032127837452619976, -0.006551013699042345, -0.004539966699120365, 0.02237444387915395, -0.040978208993911504, 0.07966970257626642, -0.08462021200267478, 0.10655128203944537, -0.09143248141818293, 0.06817641746650346, -0.03654676391198772, 0.01039401708346499, 0.010072910753075074, -0.03618304066694595, 0.06787071100396111, -0.091238332217067, 0.10601635163342223, -0.08428005645755081, 0.0789588680401952, -0.04171088959488304, 0.023121403687001295, -0.005665796052205499, -0.006534765518281546, 0.03136393368356945, -0.05172414076447747, 0.05348706884945489, -0.03120776733983626, 0.022243930450789453, -0.006898308189729756, -0.0005373998580466715, 0.03246176925690043, -0.043812061848824524, 0.03481595105490979, -0.02606513326644349, 0.029132485913879062, -0.018531528441241136, -0.014283338178336252, 0.029879194457580343, -0.025729441587865057, 0.058452065748055684, -0.028655748248968726, 0.035591591090336154, -0.003349346767520924, -0.016531413600872888, 0.03638352387976776, -0.04999695555686235, 0.05483575817105036, -0.0424101562777389, 0.0193784752997112, 0.011874688082511764, -0.03337492399233321, 0.06361678032833402, -0.07519487334155535, 0.06984633086590203, -0.03541095221283743, -0.021258174727095656, 0.08691071879678536, -0.14317753801227373, 0.14743163847937588, -0.05339946152381788, -0.17468098416008299, 0.5248459702523789, 0.41867831552938206]","[0.01940956247116931, -0.05635872585908261, 0.08783601469538471, -0.1108789112128051, 0.12337492195418202, -0.1243621262684504, 0.11411388056805763, -0.09411783193234322, 0.06691476411109074, -0.035834284589273575, 0.004584425492713919, 0.023141551467552236, -0.044192834764617946, 0.05628742971710526, -0.058349125969582555, 0.05069279443846058, -0.03497008664606155, 0.01399496942731944, 0.008651734682996924, -0.0291411955259886, 0.043943713391594134, -0.050453112910174625, 0.04742075107631594, -0.03521786425903736, 0.015911195175359275, 0.00702879115427798, -0.02925196801107804, 0.04624418508138155, -0.05420283142986895, 0.05083008549197781, -0.0359629188212142, 0.011882161875037182, 0.01687193684230754, -0.044128814579577715, 0.06319511050016406, -0.06829762653180149, 0.05608987826818262, -0.026965633632863025, -0.014142380621635102, 0.057879846089034494, -0.09169409750960195, 0.10227128488226611, -0.07915504236243372, 0.019288877659595992, 0.06818702189666344, -0.15740414838485037, 0.20246185515984724, -0.13623471830752054, -0.12798090108291743, 0.6914503975448338, 0.4693375940092366]","{""iter"": -1, ""time"": 0.3505699634552002, ""value"": -1, ""parity"": 1, ""targetPre"": false, ""typePhi"": ""full""}"
